id,value,category,score,timestamp,amount,status
73,sample_value_73,C,7.300000000000001,2025-01-01 01:12:00,219.07,active
74,sample_value_74,D,7.4,2025-01-01 01:13:00,386.42,inactive
75,sample_value_75,E,7.5,2025-01-01 01:14:00,941.9,pending
76,sample_value_76,A,7.6000000000000005,2025-01-01 01:15:00,246.7,active
77,sample_value_77,B,7.7,2025-01-01 01:16:00,525.5,inactive
78,sample_value_78,C,7.800000000000001,2025-01-01 01:17:00,891.15,pending
79,sample_value_79,D,7.9,2025-01-01 01:18:00,980.76,active
80,sample_value_80,E,8.0,2025-01-01 01:19:00,412.91,inactive
81,sample_value_81,A,8.1,2025-01-01 01:20:00,343.26,pending
82,sample_value_82,B,8.200000000000001,2025-01-01 01:21:00,945.56,active
83,sample_value_83,C,8.3,2025-01-01 01:22:00,592.11,inactive
84,sample_value_84,D,8.4,2025-01-01 01:23:00,792.64,pending
85,sample_value_85,E,8.5,2025-01-01 01:24:00,362.46,active
86,sample_value_86,A,8.6,2025-01-01 01:25:00,516.03,inactive
87,sample_value_87,B,8.700000000000001,2025-01-01 01:26:00,128.58,pending
88,sample_value_88,C,8.8,2025-01-01 01:27:00,495.24,active
89,sample_value_89,D,8.9,2025-01-01 01:28:00,533.29,inactive
90,sample_value_90,E,9.0,2025-01-01 01:29:00,837.09,pending
91,sample_value_91,A,9.1,2025-01-01 01:30:00,845.7,active
92,sample_value_92,B,9.200000000000001,2025-01-01 01:31:00,205.28,inactive
93,sample_value_93,C,9.3,2025-01-01 01:32:00,692.69,pending
94,sample_value_94,D,9.4,2025-01-01 01:33:00,517.79,active
95,sample_value_95,E,9.5,2025-01-01 01:34:00,397.29,inactive
96,sample_value_96,A,9.600000000000001,2025-01-01 01:35:00,84.52,pending
97,sample_value_97,B,9.700000000000001,2025-01-01 01:36:00,290.77,active
98,sample_value_98,C,9.8,2025-01-01 01:37:00,786.28,inactive
99,sample_value_99,D,9.9,2025-01-01 01:38:00,965.75,pending
100,sample_value_100,E,10.0,2025-01-01 01:39:00,722.89,active
101,sample_value_101,A,10.100000000000001,2025-01-01 01:40:00,413.01,inactive
102,sample_value_102,B,10.200000000000001,2025-01-01 01:41:00,849.0,pending
103,sample_value_103,C,10.3,2025-01-01 01:42:00,102.96,active
104,sample_value_104,D,10.4,2025-01-01 01:43:00,110.26,inactive
105,sample_value_105,E,10.5,2025-01-01 01:44:00,263.52,pending
106,sample_value_106,A,10.600000000000001,2025-01-01 01:45:00,801.6,active
107,sample_value_107,B,10.700000000000001,2025-01-01 01:46:00,194.64,inactive
108,sample_value_108,C,10.8,2025-01-01 01:47:00,494.87,pending
109,sample_value_109,D,10.9,2025-01-01 01:48:00,875.85,active
110,sample_value_110,E,11.0,2025-01-01 01:49:00,271.89,inactive
111,sample_value_111,A,11.100000000000001,2025-01-01 01:50:00,79.62,pending
112,sample_value_112,B,11.200000000000001,2025-01-01 01:51:00,981.69,active
113,sample_value_113,C,11.3,2025-01-01 01:52:00,108.72,inactive
114,sample_value_114,D,11.4,2025-01-01 01:53:00,574.3,pending
115,sample_value_115,E,11.5,2025-01-01 01:54:00,737.1,active
116,sample_value_116,A,11.600000000000001,2025-01-01 01:55:00,148.94,inactive
117,sample_value_117,B,11.700000000000001,2025-01-01 01:56:00,690.36,pending
118,sample_value_118,C,11.8,2025-01-01 01:57:00,563.38,active
119,sample_value_119,D,11.9,2025-01-01 01:58:00,720.44,inactive
120,sample_value_120,E,12.0,2025-01-01 01:59:00,899.84,pending
121,sample_value_121,A,12.100000000000001,2025-01-01 02:00:00,405.67,active
122,sample_value_122,B,12.200000000000001,2025-01-01 02:01:00,158.72,inactive
123,sample_value_123,C,12.3,2025-01-01 02:02:00,898.63,pending
124,sample_value_124,D,12.4,2025-01-01 02:03:00,954.28,active
125,sample_value_125,E,12.5,2025-01-01 02:04:00,493.32,inactive
126,sample_value_126,A,12.600000000000001,2025-01-01 02:05:00,28.07,pending
127,sample_value_127,B,12.700000000000001,2025-01-01 02:06:00,287.54,active
128,sample_value_128,C,12.8,2025-01-01 02:07:00,372.61,inactive
129,sample_value_129,D,12.9,2025-01-01 02:08:00,430.82,pending
130,sample_value_130,E,13.0,2025-01-01 02:09:00,884.19,active
131,sample_value_131,A,13.100000000000001,2025-01-01 02:10:00,343.8,inactive
132,sample_value_132,B,13.200000000000001,2025-01-01 02:11:00,502.12,pending
133,sample_value_133,C,13.3,2025-01-01 02:12:00,389.74,active
134,sample_value_134,D,13.4,2025-01-01 02:13:00,367.86,inactive
135,sample_value_135,E,13.5,2025-01-01 02:14:00,562.88,pending
136,sample_value_136,A,13.600000000000001,2025-01-01 02:15:00,419.71,active
137,sample_value_137,B,13.700000000000001,2025-01-01 02:16:00,261.15,inactive
138,sample_value_138,C,13.8,2025-01-01 02:17:00,285.84,pending
139,sample_value_139,D,13.9,2025-01-01 02:18:00,785.83,active
140,sample_value_140,E,14.0,2025-01-01 02:19:00,472.63,inactive
141,sample_value_141,A,14.100000000000001,2025-01-01 02:20:00,565.88,pending
142,sample_value_142,B,14.200000000000001,2025-01-01 02:21:00,352.57,active
143,sample_value_143,C,14.3,2025-01-01 02:22:00,793.23,inactive
144,sample_value_144,D,14.4,2025-01-01 02:23:00,909.51,pending
145,sample_value_145,E,14.5,2025-01-01 02:24:00,811.78,active
146,sample_value_146,A,14.600000000000001,2025-01-01 02:25:00,275.45,inactive
147,sample_value_147,B,14.700000000000001,2025-01-01 02:26:00,730.48,pending
148,sample_value_148,C,14.8,2025-01-01 02:27:00,565.29,active
149,sample_value_149,D,14.9,2025-01-01 02:28:00,992.76,inactive
150,sample_value_150,E,15.0,2025-01-01 02:29:00,186.07,pending
151,sample_value_151,A,15.100000000000001,2025-01-01 02:30:00,699.6,active
152,sample_value_152,B,15.200000000000001,2025-01-01 02:31:00,636.59,inactive
153,sample_value_153,C,15.3,2025-01-01 02:32:00,419.88,pending
154,sample_value_154,D,15.4,2025-01-01 02:33:00,637.23,active
155,sample_value_155,E,15.5,2025-01-01 02:34:00,896.9,inactive
156,sample_value_156,A,15.600000000000001,2025-01-01 02:35:00,884.68,pending
157,sample_value_157,B,15.700000000000001,2025-01-01 02:36:00,363.26,active
158,sample_value_158,C,15.8,2025-01-01 02:37:00,210.4,inactive
159,sample_value_159,D,15.9,2025-01-01 02:38:00,390.26,pending
160,sample_value_160,E,16.0,2025-01-01 02:39:00,750.36,active
161,sample_value_161,A,16.1,2025-01-01 02:40:00,708.06,inactive
162,sample_value_162,B,16.2,2025-01-01 02:41:00,464.5,pending
163,sample_value_163,C,16.3,2025-01-01 02:42:00,777.45,active
164,sample_value_164,D,16.400000000000002,2025-01-01 02:43:00,842.71,inactive
165,sample_value_165,E,16.5,2025-01-01 02:44:00,143.11,pending
166,sample_value_166,A,16.6,2025-01-01 02:45:00,456.38,active
167,sample_value_167,B,16.7,2025-01-01 02:46:00,925.89,inactive
168,sample_value_168,C,16.8,2025-01-01 02:47:00,842.05,pending
169,sample_value_169,D,16.900000000000002,2025-01-01 02:48:00,361.61,active
170,sample_value_170,E,17.0,2025-01-01 02:49:00,89.99,inactive
171,sample_value_171,A,17.1,2025-01-01 02:50:00,638.03,pending
172,sample_value_172,B,17.2,2025-01-01 02:51:00,809.42,active
173,sample_value_173,C,17.3,2025-01-01 02:52:00,257.42,inactive
174,sample_value_174,D,17.400000000000002,2025-01-01 02:53:00,30.23,pending
175,sample_value_175,E,17.5,2025-01-01 02:54:00,850.75,active
176,sample_value_176,A,17.6,2025-01-01 02:55:00,904.05,inactive
177,sample_value_177,B,17.7,2025-01-01 02:56:00,648.96,pending
178,sample_value_178,C,17.8,2025-01-01 02:57:00,489.89,active
179,sample_value_179,D,17.900000000000002,2025-01-01 02:58:00,835.32,inactive
180,sample_value_180,E,18.0,2025-01-01 02:59:00,407.1,pending
181,sample_value_181,A,18.1,2025-01-01 03:00:00,212.39,active
182,sample_value_182,B,18.2,2025-01-01 03:01:00,316.32,inactive
183,sample_value_183,C,18.3,2025-01-01 03:02:00,119.8,pending
184,sample_value_184,D,18.400000000000002,2025-01-01 03:03:00,982.57,active
185,sample_value_185,E,18.5,2025-01-01 03:04:00,47.23,inactive
186,sample_value_186,A,18.6,2025-01-01 03:05:00,581.82,pending
187,sample_value_187,B,18.7,2025-01-01 03:06:00,40.2,active
188,sample_value_188,C,18.8,2025-01-01 03:07:00,976.76,inactive
189,sample_value_189,D,18.900000000000002,2025-01-01 03:08:00,588.75,pending
190,sample_value_190,E,19.0,2025-01-01 03:09:00,466.56,active
191,sample_value_191,A,19.1,2025-01-01 03:10:00,394.5,inactive
192,sample_value_192,B,19.200000000000003,2025-01-01 03:11:00,667.13,pending
193,sample_value_193,C,19.3,2025-01-01 03:12:00,273.75,active
194,sample_value_194,D,19.400000000000002,2025-01-01 03:13:00,612.32,inactive
195,sample_value_195,E,19.5,2025-01-01 03:14:00,331.67,pending
196,sample_value_196,A,19.6,2025-01-01 03:15:00,668.85,active
197,sample_value_197,B,19.700000000000003,2025-01-01 03:16:00,916.99,inactive
198,sample_value_198,C,19.8,2025-01-01 03:17:00,447.61,pending
199,sample_value_199,D,19.900000000000002,2025-01-01 03:18:00,278.57,active
200,sample_value_200,E,20.0,2025-01-01 03:19:00,130.25,inactive
201,sample_value_201,A,20.1,2025-01-01 03:20:00,413.47,pending
202,sample_value_202,B,20.200000000000003,2025-01-01 03:21:00,32.68,active
203,sample_value_203,C,20.3,2025-01-01 03:22:00,640.77,inactive
204,sample_value_204,D,20.400000000000002,2025-01-01 03:23:00,717.47,pending
205,sample_value_205,E,20.5,2025-01-01 03:24:00,482.93,active
206,sample_value_206,A,20.6,2025-01-01 03:25:00,942.56,inactive
207,sample_value_207,B,20.700000000000003,2025-01-01 03:26:00,505.95,pending
208,sample_value_208,C,20.8,2025-01-01 03:27:00,638.95,active
209,sample_value_209,D,20.900000000000002,2025-01-01 03:28:00,26.38,inactive
210,sample_value_210,E,21.0,2025-01-01 03:29:00,383.34,pending
211,sample_value_211,A,21.1,2025-01-01 03:30:00,555.18,active
212,sample_value_212,B,21.200000000000003,2025-01-01 03:31:00,210.92,inactive
213,sample_value_213,C,21.3,2025-01-01 03:32:00,687.4,pending
214,sample_value_214,D,21.400000000000002,2025-01-01 03:33:00,519.35,active
215,sample_value_215,E,21.5,2025-01-01 03:34:00,622.3,inactive
216,sample_value_216,A,21.6,2025-01-01 03:35:00,102.38,pending
217,sample_value_217,B,21.700000000000003,2025-01-01 03:36:00,403.23,active
218,sample_value_218,C,21.8,2025-01-01 03:37:00,234.63,inactive
219,sample_value_219,D,21.900000000000002,2025-01-01 03:38:00,40.35,pending
220,sample_value_220,E,22.0,2025-01-01 03:39:00,132.65,active
221,sample_value_221,A,22.1,2025-01-01 03:40:00,911.5,inactive
222,sample_value_222,B,22.200000000000003,2025-01-01 03:41:00,786.17,pending
223,sample_value_223,C,22.3,2025-01-01 03:42:00,887.54,active
224,sample_value_224,D,22.400000000000002,2025-01-01 03:43:00,267.58,inactive
225,sample_value_225,E,22.5,2025-01-01 03:44:00,309.9,pending
226,sample_value_226,A,22.6,2025-01-01 03:45:00,152.42,active
227,sample_value_227,B,22.700000000000003,2025-01-01 03:46:00,262.79,inactive
228,sample_value_228,C,22.8,2025-01-01 03:47:00,86.45,pending
229,sample_value_229,D,22.900000000000002,2025-01-01 03:48:00,219.09,active
230,sample_value_230,E,23.0,2025-01-01 03:49:00,132.99,inactive
231,sample_value_231,A,23.1,2025-01-01 03:50:00,587.34,pending
232,sample_value_232,B,23.200000000000003,2025-01-01 03:51:00,261.27,active
233,sample_value_233,C,23.3,2025-01-01 03:52:00,667.33,inactive
234,sample_value_234,D,23.400000000000002,2025-01-01 03:53:00,758.36,pending
235,sample_value_235,E,23.5,2025-01-01 03:54:00,41.3,active
236,sample_value_236,A,23.6,2025-01-01 03:55:00,516.2,inactive
237,sample_value_237,B,23.700000000000003,2025-01-01 03:56:00,762.73,pending
238,sample_value_238,C,23.8,2025-01-01 03:57:00,710.37,active
239,sample_value_239,D,23.900000000000002,2025-01-01 03:58:00,841.25,inactive
240,sample_value_240,E,24.0,2025-01-01 03:59:00,489.82,pending
241,sample_value_241,A,24.1,2025-01-01 04:00:00,218.67,active
242,sample_value_242,B,24.200000000000003,2025-01-01 04:01:00,245.23,inactive
243,sample_value_243,C,24.3,2025-01-01 04:02:00,819.14,pending
244,sample_value_244,D,24.400000000000002,2025-01-01 04:03:00,676.17,active
245,sample_value_245,E,24.5,2025-01-01 04:04:00,402.18,inactive
246,sample_value_246,A,24.6,2025-01-01 04:05:00,172.05,pending
247,sample_value_247,B,24.700000000000003,2025-01-01 04:06:00,115.94,active
248,sample_value_248,C,24.8,2025-01-01 04:07:00,158.28,inactive
249,sample_value_249,D,24.900000000000002,2025-01-01 04:08:00,93.62,pending
250,sample_value_250,E,25.0,2025-01-01 04:09:00,258.38,active
251,sample_value_251,A,25.1,2025-01-01 04:10:00,353.13,inactive
252,sample_value_252,B,25.200000000000003,2025-01-01 04:11:00,657.72,pending
253,sample_value_253,C,25.3,2025-01-01 04:12:00,791.4,active
254,sample_value_254,D,25.400000000000002,2025-01-01 04:13:00,315.65,inactive
255,sample_value_255,E,25.5,2025-01-01 04:14:00,810.55,pending
256,sample_value_256,A,25.6,2025-01-01 04:15:00,505.39,active
257,sample_value_257,B,25.700000000000003,2025-01-01 04:16:00,397.58,inactive
258,sample_value_258,C,25.8,2025-01-01 04:17:00,751.58,pending
259,sample_value_259,D,25.900000000000002,2025-01-01 04:18:00,943.86,active
260,sample_value_260,E,26.0,2025-01-01 04:19:00,53.72,inactive
261,sample_value_261,A,26.1,2025-01-01 04:20:00,907.59,pending
262,sample_value_262,B,26.200000000000003,2025-01-01 04:21:00,544.21,active
263,sample_value_263,C,26.3,2025-01-01 04:22:00,289.28,inactive
264,sample_value_264,D,26.400000000000002,2025-01-01 04:23:00,238.14,pending
265,sample_value_265,E,26.5,2025-01-01 04:24:00,439.85,active
266,sample_value_266,A,26.6,2025-01-01 04:25:00,725.79,inactive
267,sample_value_267,B,26.700000000000003,2025-01-01 04:26:00,63.43,pending
268,sample_value_268,C,26.8,2025-01-01 04:27:00,860.45,active
269,sample_value_269,D,26.900000000000002,2025-01-01 04:28:00,187.1,inactive
270,sample_value_270,E,27.0,2025-01-01 04:29:00,74.22,pending
271,sample_value_271,A,27.1,2025-01-01 04:30:00,411.6,active
272,sample_value_272,B,27.200000000000003,2025-01-01 04:31:00,923.0,inactive
273,sample_value_273,C,27.3,2025-01-01 04:32:00,595.2,pending
274,sample_value_274,D,27.400000000000002,2025-01-01 04:33:00,70.1,active
275,sample_value_275,E,27.5,2025-01-01 04:34:00,49.98,inactive
276,sample_value_276,A,27.6,2025-01-01 04:35:00,630.19,pending
277,sample_value_277,B,27.700000000000003,2025-01-01 04:36:00,926.67,active
278,sample_value_278,C,27.8,2025-01-01 04:37:00,776.34,inactive
279,sample_value_279,D,27.900000000000002,2025-01-01 04:38:00,890.47,pending
280,sample_value_280,E,28.0,2025-01-01 04:39:00,864.3,active
281,sample_value_281,A,28.1,2025-01-01 04:40:00,447.05,inactive
282,sample_value_282,B,28.200000000000003,2025-01-01 04:41:00,439.34,pending
283,sample_value_283,C,28.3,2025-01-01 04:42:00,140.89,active
284,sample_value_284,D,28.400000000000002,2025-01-01 04:43:00,278.89,inactive
285,sample_value_285,E,28.5,2025-01-01 04:44:00,173.08,pending
286,sample_value_286,A,28.6,2025-01-01 04:45:00,418.58,active
287,sample_value_287,B,28.700000000000003,2025-01-01 04:46:00,629.94,inactive
288,sample_value_288,C,28.8,2025-01-01 04:47:00,766.48,pending
289,sample_value_289,D,28.900000000000002,2025-01-01 04:48:00,402.57,active
290,sample_value_290,E,29.0,2025-01-01 04:49:00,682.11,inactive
291,sample_value_291,A,29.1,2025-01-01 04:50:00,737.1,pending
292,sample_value_292,B,29.200000000000003,2025-01-01 04:51:00,24.65,active
293,sample_value_293,C,29.3,2025-01-01 04:52:00,973.18,inactive
294,sample_value_294,D,29.400000000000002,2025-01-01 04:53:00,762.31,pending
295,sample_value_295,E,29.5,2025-01-01 04:54:00,768.62,active
296,sample_value_296,A,29.6,2025-01-01 04:55:00,738.03,inactive
297,sample_value_297,B,29.700000000000003,2025-01-01 04:56:00,669.57,pending
298,sample_value_298,C,29.8,2025-01-01 04:57:00,726.4,active
299,sample_value_299,D,29.900000000000002,2025-01-01 04:58:00,159.89,inactive
300,sample_value_300,E,30.0,2025-01-01 04:59:00,194.85,pending
301,sample_value_301,A,30.1,2025-01-01 05:00:00,624.87,active
302,sample_value_302,B,30.200000000000003,2025-01-01 05:01:00,82.36,inactive
303,sample_value_303,C,30.3,2025-01-01 05:02:00,414.28,pending
304,sample_value_304,D,30.400000000000002,2025-01-01 05:03:00,224.17,active
305,sample_value_305,E,30.5,2025-01-01 05:04:00,17.65,inactive
306,sample_value_306,A,30.6,2025-01-01 05:05:00,145.41,pending
307,sample_value_307,B,30.700000000000003,2025-01-01 05:06:00,397.4,active
308,sample_value_308,C,30.8,2025-01-01 05:07:00,125.55,inactive
309,sample_value_309,D,30.900000000000002,2025-01-01 05:08:00,209.69,pending
310,sample_value_310,E,31.0,2025-01-01 05:09:00,22.54,active
311,sample_value_311,A,31.1,2025-01-01 05:10:00,212.43,inactive
312,sample_value_312,B,31.200000000000003,2025-01-01 05:11:00,750.97,pending
313,sample_value_313,C,31.3,2025-01-01 05:12:00,364.92,active
314,sample_value_314,D,31.400000000000002,2025-01-01 05:13:00,491.75,inactive
315,sample_value_315,E,31.5,2025-01-01 05:14:00,538.0,pending
316,sample_value_316,A,31.6,2025-01-01 05:15:00,805.21,active
317,sample_value_317,B,31.700000000000003,2025-01-01 05:16:00,885.84,inactive
318,sample_value_318,C,31.8,2025-01-01 05:17:00,60.89,pending
319,sample_value_319,D,31.900000000000002,2025-01-01 05:18:00,643.95,active
320,sample_value_320,E,32.0,2025-01-01 05:19:00,648.48,inactive
321,sample_value_321,A,32.1,2025-01-01 05:20:00,617.62,pending
322,sample_value_322,B,32.2,2025-01-01 05:21:00,526.21,active
323,sample_value_323,C,32.300000000000004,2025-01-01 05:22:00,818.84,inactive
324,sample_value_324,D,32.4,2025-01-01 05:23:00,532.77,pending
325,sample_value_325,E,32.5,2025-01-01 05:24:00,188.19,active
326,sample_value_326,A,32.6,2025-01-01 05:25:00,421.29,inactive
327,sample_value_327,B,32.7,2025-01-01 05:26:00,833.78,pending
328,sample_value_328,C,32.800000000000004,2025-01-01 05:27:00,678.81,active
329,sample_value_329,D,32.9,2025-01-01 05:28:00,600.56,inactive
330,sample_value_330,E,33.0,2025-01-01 05:29:00,346.08,pending
331,sample_value_331,A,33.1,2025-01-01 05:30:00,773.24,active
332,sample_value_332,B,33.2,2025-01-01 05:31:00,29.81,inactive
333,sample_value_333,C,33.300000000000004,2025-01-01 05:32:00,649.6,pending
334,sample_value_334,D,33.4,2025-01-01 05:33:00,505.05,active
335,sample_value_335,E,33.5,2025-01-01 05:34:00,738.56,inactive
336,sample_value_336,A,33.6,2025-01-01 05:35:00,875.56,pending
337,sample_value_337,B,33.7,2025-01-01 05:36:00,464.2,active
338,sample_value_338,C,33.800000000000004,2025-01-01 05:37:00,763.19,inactive
339,sample_value_339,D,33.9,2025-01-01 05:38:00,540.62,pending
340,sample_value_340,E,34.0,2025-01-01 05:39:00,97.68,active
341,sample_value_341,A,34.1,2025-01-01 05:40:00,786.32,inactive
342,sample_value_342,B,34.2,2025-01-01 05:41:00,248.11,pending
343,sample_value_343,C,34.300000000000004,2025-01-01 05:42:00,749.9,active
344,sample_value_344,D,34.4,2025-01-01 05:43:00,259.27,inactive
345,sample_value_345,E,34.5,2025-01-01 05:44:00,153.88,pending
346,sample_value_346,A,34.6,2025-01-01 05:45:00,558.99,active
347,sample_value_347,B,34.7,2025-01-01 05:46:00,810.63,inactive
348,sample_value_348,C,34.800000000000004,2025-01-01 05:47:00,414.0,pending
349,sample_value_349,D,34.9,2025-01-01 05:48:00,158.03,active
350,sample_value_350,E,35.0,2025-01-01 05:49:00,931.44,inactive
351,sample_value_351,A,35.1,2025-01-01 05:50:00,755.31,pending
352,sample_value_352,B,35.2,2025-01-01 05:51:00,28.28,active
353,sample_value_353,C,35.300000000000004,2025-01-01 05:52:00,815.54,inactive
354,sample_value_354,D,35.4,2025-01-01 05:53:00,919.22,pending
355,sample_value_355,E,35.5,2025-01-01 05:54:00,965.21,active
356,sample_value_356,A,35.6,2025-01-01 05:55:00,733.71,inactive
357,sample_value_357,B,35.7,2025-01-01 05:56:00,93.49,pending
358,sample_value_358,C,35.800000000000004,2025-01-01 05:57:00,939.46,active
359,sample_value_359,D,35.9,2025-01-01 05:58:00,451.58,inactive
360,sample_value_360,E,36.0,2025-01-01 05:59:00,933.08,pending
361,sample_value_361,A,36.1,2025-01-01 06:00:00,772.25,active
362,sample_value_362,B,36.2,2025-01-01 06:01:00,277.09,inactive
363,sample_value_363,C,36.300000000000004,2025-01-01 06:02:00,375.38,pending
364,sample_value_364,D,36.4,2025-01-01 06:03:00,310.93,active
365,sample_value_365,E,36.5,2025-01-01 06:04:00,898.37,inactive
366,sample_value_366,A,36.6,2025-01-01 06:05:00,806.47,pending
367,sample_value_367,B,36.7,2025-01-01 06:06:00,751.56,active
368,sample_value_368,C,36.800000000000004,2025-01-01 06:07:00,447.66,inactive
369,sample_value_369,D,36.9,2025-01-01 06:08:00,73.17,pending
370,sample_value_370,E,37.0,2025-01-01 06:09:00,143.45,active
371,sample_value_371,A,37.1,2025-01-01 06:10:00,983.66,inactive
372,sample_value_372,B,37.2,2025-01-01 06:11:00,26.56,pending
373,sample_value_373,C,37.300000000000004,2025-01-01 06:12:00,728.68,active
374,sample_value_374,D,37.4,2025-01-01 06:13:00,594.25,inactive
375,sample_value_375,E,37.5,2025-01-01 06:14:00,590.19,pending
376,sample_value_376,A,37.6,2025-01-01 06:15:00,969.79,active
377,sample_value_377,B,37.7,2025-01-01 06:16:00,401.1,inactive
378,sample_value_378,C,37.800000000000004,2025-01-01 06:17:00,954.16,pending
379,sample_value_379,D,37.9,2025-01-01 06:18:00,160.28,active
380,sample_value_380,E,38.0,2025-01-01 06:19:00,232.11,inactive
381,sample_value_381,A,38.1,2025-01-01 06:20:00,171.18,pending
382,sample_value_382,B,38.2,2025-01-01 06:21:00,49.72,active
383,sample_value_383,C,38.300000000000004,2025-01-01 06:22:00,815.13,inactive
